0ATH,OATH OF OFFICE,OATH OF OFFICE,True
0GM/LEASE,OGM LEASE,OGM LEASE,True
1ST ASST,OATH OF OFFICE,OATH OF OFFICE,True
2ND AMEND/MTG/AGREE,MORTGAGE,MORTGAGE,True
2ND AMEND/MTG/ASGN,MORTGAGE,MORTGAGE,True
2ND ASSO,OATH OF OFFICE,OATH OF OFFICE,True
2ND ASST,OATH OF OFFICE,OATH OF OFFICE,True
2ND AST,OATH OF OFFICE,OATH OF OFFICE,True
3 RD AMD/MTG/ASGN/AGREE,MORTGAGE,MORTGAGE,True
3/EXT,MORTGAGE,MORTGAGE,True
3RD,MORTGAGE,MORTGAGE,True
3RD AMD/MTG/ASGN,MORTGAGE,MORTGAGE,True
3RD AMENMENT MTG/PLDGE/ASGN,MORTGAGE,MORTGAGE,True
4/EXT,MORTGAGE,MORTGAGE,True
6 AMD,AMENDMENT,AMENDMENT,True
A,AMENDMENT,AMENDMENT,True
A/,AMENDMENT,AMENDMENT,True
A/&AMD,AMENDMENT,AMENDMENT,True
A//C,CORRECTION,CORRECTION,True
A/AGR,AGREEMENT,AGREEMENT,True
A/AGREE,AGREEMENT,AGREEMENT,True
A/ASG,ASSIGNMENT,ASSIGNMENT,True
A/C,CORRECTION,CORRECTION,True
A/C  AMEND,CORRECTION,CORRECTION,True
A/C ASGN,CORRECTION,CORRECTION,True
A/C CPS,CORRECTION,CORRECTION,True
A/C DEED,CORRECTION,CORRECTION,True
A/C MTG,CORRECTION,CORRECTION,True
A/C OGM,CORRECTION,CORRECTION,True
A/C/ASG,CORRECTION,CORRECTION,True
A/C0RR,CORRECTION,CORRECTION,True
A/C-ASG,CORRECTION,CORRECTION,True
A/CONTRIBU,CORRECTION,CORRECTION,True
A/CORR,CORRECTION,CORRECTION,True
A/CORR/AMD,CORRECTION,CORRECTION,True
A/CORR/ASGN,CORRECTION,CORRECTION,True
A/CORR/RDP,CORRECTION,CORRECTION,True
A/CORR/SALE,CORRECTION,CORRECTION,True
A/CORRECTION,CORRECTION,CORRECTION,True
A/CRS,CREDIT SALE,CREDIT SALE,True
A/D,ASSUMPTION,ASSUMPTION,True
A/D &,ASSUMPTION,ASSUMPTION,True
A/D AMTZ,ASSUMPTION,ASSUMPTION,True
A/D CPS,PARTITION,PARTITION,True
A/D CRS,CREDIT SALE,CREDIT SALE,True
A/D EHD,ASSUMPTION,ASSUMPTION,True
A/D PLAT,ASSUMPTION,ASSUMPTION,True
A/D RSL,ASSUMPTION,ASSUMPTION,True
A/D SALE,ASSUMPTION,ASSUMPTION,True
A/D-&MTG,ASSUMPTION,ASSUMPTION,True
A/D/PLAT,ASSUMPTION,ASSUMPTION,True
A/D/RSL,ASSUMPTION,ASSUMPTION,True
A/D-CRS,ASSUMPTION,ASSUMPTION,True
A/D-DON,ASSUMPTION,ASSUMPTION,True
A/DEED,ASSUMPTION,ASSUMPTION,True
A/DON,DONATION  ,DONATION,False
A/D-PLAT,ASSUMPTION,ASSUMPTION,True
A/D-SALE,ASSUMPTION,ASSUMPTION,True
A/I,AMENDMENT,AMENDMENT,True
A/J/POSS,JUDGMENT OF POSSESSION,JUDGMENT OF POSSESSION,True
A/J-POSS,JUDGMENT OF POSSESSION,JUDGMENT OF POSSESSION,True
A/JUDG,JUDGMENT  ,JUDGMENT,False
A/L,LEASE,LEASE,True
A/L &,LEASE,LEASE,True
A/MIN,OGM FILING ,OGM FILING,False
A/MTG,MORTGAGE,MORTGAGE,True
A/MTGS,MORTGAGE,MORTGAGE,True
A/N,NOTICE,NOTICE,True
A/NOTE,NOTE,NOTE,True
A/OGL,OGM FILING ,OGM FILING,False
A/PART,PARTITION,PARTITION,True
A/QCD,QUIT CLAIM,QUIT CLAIM,True
A/R,RATIFICATION,RATIFICATION,True
A/SALE,ASSUMPTION,ASSUMPTION,True
A/W,ASSIGNMENT,ASSIGNMENT,True
A/WAGES,ASSIGNMENT,ASSIGNMENT,True
AAG/OGM,OGM FILING ,OGM FILING,False
ABAN-,ABANDONMENT,ABANDONMENT,True
ABAND,ABANDONMENT,ABANDONMENT,True
ABAND-,ABANDONMENT,ABANDONMENT,True
ABANDON,ABANDONMENT,ABANDONMENT,True
ABANDOND,ABANDONMENT,ABANDONMENT,True
ABANDONMENT,ABANDONMENT,ABANDONMENT,True
ABONDON,ABANDONMENT,ABANDONMENT,True
ABRY/AGR,LEASE,LEASE,True
ABS-,SUPPLEMENTAL,SUPPLEMENTAL,True
ABSTR,SUPPLEMENTAL,SUPPLEMENTAL,True
ABSTRACT,NOTICE,NOTICE,True
AC/LSE,LEASE,LEASE,True
ACA,CORRECTION,CORRECTION,True
ACCEP,ACCEPTANCE,ACCEPTANCE,True
ACCEPT,ACCEPTANCE,ACCEPTANCE,True
ACCEPT/AGR,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE OF DONATION,ACCEPTANCE,ACCEPTANCE,True
ACCEPTANCE/DONATION,ACCEPTANCE,ACCEPTANCE,True
ACCPT,ACCEPTANCE,ACCEPTANCE,True
ACC-REC,ACCEPTANCE,ACCEPTANCE,True
ACCTS,ASSIGNMENT,ASSIGNMENT,True
ACK,ACKNOWLEDGMENT,ACKNOWLEDGMENT,True
ACK AGR,ACKNOWLEDGMENT,ACKNOWLEDGMENT,True
ACK AOC,ACKNOWLEDGMENT,ACKNOWLEDGMENT,True
ACK O/R,ACKNOWLEDGMENT,ACKNOWLEDGMENT,True
